pair_id,phenomenon,model,condition,gold_label,predicted_label,correct,score_yes,score_no,margin_yes_minus_no,s,s_eval,edit_type,split
neg_000001,negation,google/gemma-3-4b-it,counterfactual,no,yes,False,-34.0,-45.0,11.0,A cat is an animal.,A cat is not a machine.,insert_not,train
neg_000001,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.75,-50.5,24.75,A cat is an animal.,A cat is an animal.,insert_not,train
neg_000002,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-37.25,-24.5,-12.75,A cat is not a machine.,A cat is an animal.,remove_not,train
neg_000002,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-26.0,-52.0,26.0,A cat is not a machine.,A cat is not a machine.,remove_not,train
neg_000003,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-40.25,-34.0,-6.25,A computer is a machine.,A computer is not a person.,insert_not,dev
neg_000003,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.75,-50.75,25.0,A computer is a machine.,A computer is a machine.,insert_not,dev
neg_000004,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-38.25,-28.5,-9.75,A computer is not a person.,A computer is a machine.,remove_not,train
neg_000004,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.25,-50.25,25.0,A computer is not a person.,A computer is not a person.,remove_not,train
neg_000005,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-39.75,-31.75,-8.0,A book is a text.,A book is not a person.,insert_not,train
neg_000005,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-26.0,-51.25,25.25,A book is a text.,A book is a text.,insert_not,train
neg_000006,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-36.75,-24.875,-11.875,A book is not a person.,A book is a text.,remove_not,test
neg_000006,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.0,-50.0,25.0,A book is not a person.,A book is not a person.,remove_not,test
neg_000007,negation,google/gemma-3-4b-it,counterfactual,no,yes,False,-34.5,-46.0,11.5,A dog is an animal.,A dog is not a plant.,insert_not,train
neg_000007,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.375,-49.5,24.125,A dog is an animal.,A dog is an animal.,insert_not,train
neg_000008,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-35.5,-24.625,-10.875,A dog is not a plant.,A dog is an animal.,remove_not,test
neg_000008,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.25,-50.75,25.5,A dog is not a plant.,A dog is not a plant.,remove_not,test
neg_000009,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-38.25,-29.75,-8.5,A monkey is an animal.,A monkey is not a toy.,insert_not,train
neg_000009,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.25,-49.75,24.5,A monkey is an animal.,A monkey is an animal.,insert_not,train
neg_000010,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-37.75,-24.625,-13.125,A monkey is not a toy.,A monkey is an animal.,remove_not,train
neg_000010,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.5,-51.25,25.75,A monkey is not a toy.,A monkey is not a toy.,remove_not,train
neg_000011,negation,google/gemma-3-4b-it,counterfactual,no,yes,False,-32.75,-35.75,3.0,A rabbit is an animal.,A rabbit is not a plant.,insert_not,train
neg_000011,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.5,-50.25,24.75,A rabbit is an animal.,A rabbit is an animal.,insert_not,train
neg_000012,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-34.5,-25.875,-8.625,A rabbit is not a plant.,A rabbit is an animal.,remove_not,train
neg_000012,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.5,-51.0,25.5,A rabbit is not a plant.,A rabbit is not a plant.,remove_not,train
neg_000013,negation,google/gemma-3-4b-it,counterfactual,no,yes,False,-36.0,-42.75,6.75,A human is a mammal.,A human is not a device.,insert_not,train
neg_000013,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-24.875,-49.25,24.375,A human is a mammal.,A human is a mammal.,insert_not,train
neg_000014,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-40.5,-23.5,-17.0,A human is not a device.,A human is a mammal.,remove_not,train
neg_000014,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.25,-50.0,24.75,A human is not a device.,A human is not a device.,remove_not,train
neg_000015,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-39.0,-28.0,-11.0,A laptop is a device.,A laptop is not a toy.,insert_not,train
neg_000015,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.375,-49.75,24.375,A laptop is a device.,A laptop is a device.,insert_not,train
neg_000016,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-37.75,-26.125,-11.625,A laptop is not a toy.,A laptop is a device.,remove_not,train
neg_000016,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-26.0,-52.0,26.0,A laptop is not a toy.,A laptop is not a toy.,remove_not,train
neg_000017,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-38.75,-28.5,-10.25,An earphone is a device.,An earphone is not a toy.,insert_not,train
neg_000017,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.25,-49.25,24.0,An earphone is a device.,An earphone is a device.,insert_not,train
neg_000018,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-38.75,-25.5,-13.25,An earphone is not a toy.,An earphone is a device.,remove_not,train
neg_000018,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.25,-50.5,25.25,An earphone is not a toy.,An earphone is not a toy.,remove_not,train
neg_000019,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-39.0,-28.0,-11.0,A book is a creation.,A book is not a utensil.,insert_not,train
neg_000019,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.5,-50.75,25.25,A book is a creation.,A book is a creation.,insert_not,train
neg_000020,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-39.0,-25.125,-13.875,A book is not a utensil.,A book is a creation.,remove_not,train
neg_000020,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.125,-50.75,25.625,A book is not a utensil.,A book is not a utensil.,remove_not,train
neg_000021,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-37.75,-30.0,-7.75,A house is a building.,A house is not a plant.,insert_not,train
neg_000021,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.625,-50.75,25.125,A house is a building.,A house is a building.,insert_not,train
neg_000022,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-36.75,-24.875,-11.875,A house is not a plant.,A house is a building.,remove_not,train
neg_000022,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.5,-50.75,25.25,A house is not a plant.,A house is not a plant.,remove_not,train
neg_000023,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-38.25,-29.875,-8.375,A school is a building.,A school is not a toy.,insert_not,dev
neg_000023,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.625,-50.75,25.125,A school is a building.,A school is a building.,insert_not,dev
neg_000024,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-37.25,-23.375,-13.875,A school is not a toy.,A school is a building.,remove_not,dev
