pair_id,phenomenon,model,condition,gold_label,predicted_label,correct,score_yes,score_no,margin_yes_minus_no,s,s_eval,edit_type,split
neg_000001,negation,mistralai/Mistral-7B-Instruct-v0.3,counterfactual,no,no,True,-13.453125,-13.0703125,-0.3828125,A cat is an animal.,A cat is not a machine.,insert_not,train
neg_000001,negation,mistralai/Mistral-7B-Instruct-v0.3,identity_control,yes,yes,True,-7.8125,-28.84375,21.03125,A cat is an animal.,A cat is an animal.,insert_not,train
neg_000002,negation,mistralai/Mistral-7B-Instruct-v0.3,counterfactual,no,no,True,-19.25,-12.921875,-6.328125,A cat is not a machine.,A cat is an animal.,remove_not,train
neg_000002,negation,mistralai/Mistral-7B-Instruct-v0.3,identity_control,yes,yes,True,-7.265625,-28.078125,20.8125,A cat is not a machine.,A cat is not a machine.,remove_not,train
neg_000003,negation,mistralai/Mistral-7B-Instruct-v0.3,counterfactual,no,no,True,-18.171875,-13.765625,-4.40625,A computer is a machine.,A computer is not a person.,insert_not,dev
neg_000003,negation,mistralai/Mistral-7B-Instruct-v0.3,identity_control,yes,yes,True,-7.84375,-28.890625,21.046875,A computer is a machine.,A computer is a machine.,insert_not,dev
neg_000004,negation,mistralai/Mistral-7B-Instruct-v0.3,counterfactual,no,yes,False,-9.171875,-13.3359375,4.1640625,A computer is not a person.,A computer is a machine.,remove_not,train
neg_000004,negation,mistralai/Mistral-7B-Instruct-v0.3,identity_control,yes,yes,True,-7.203125,-27.8125,20.609375,A computer is not a person.,A computer is not a person.,remove_not,train
neg_000005,negation,mistralai/Mistral-7B-Instruct-v0.3,counterfactual,no,no,True,-23.890625,-14.078125,-9.8125,A book is a text.,A book is not a person.,insert_not,train
neg_000005,negation,mistralai/Mistral-7B-Instruct-v0.3,identity_control,yes,yes,True,-7.8125,-28.859375,21.046875,A book is a text.,A book is a text.,insert_not,train
neg_000006,negation,mistralai/Mistral-7B-Instruct-v0.3,counterfactual,no,no,True,-19.96875,-13.421875,-6.546875,A book is not a person.,A book is a text.,remove_not,test
