pair_id,phenomenon,s,s_cf,annotator_id,batch_id,human_change_0_5,confidence_1_5,fluency_s_1_5,fluency_cf_1_5,plausibility_s_1_5,plausibility_cf_1_5,changed_words,attention_check,created_at
attach_000037,attachment,"With the camera, the artist photographed the tourist.",The artist photographed the tourist who had the camera.,sim_1,pilot_simulated_v1,2.41,4.17,5.0,5.0,4.29,4.36,,True,simulated
attach_000037,attachment,"With the camera, the artist photographed the tourist.",The artist photographed the tourist who had the camera.,sim_2,pilot_simulated_v1,2.3,3.26,5.0,5.0,3.44,3.36,,True,simulated
attach_000037,attachment,"With the camera, the artist photographed the tourist.",The artist photographed the tourist who had the camera.,sim_3,pilot_simulated_v1,3.17,3.06,5.0,5.0,4.05,3.34,,True,simulated
attach_000067,attachment,"With the flashlight, the artist checked the driver.",The artist checked the driver who had the flashlight.,sim_1,pilot_simulated_v1,2.47,3.66,5.0,5.0,4.54,3.97,,True,simulated
attach_000067,attachment,"With the flashlight, the artist checked the driver.",The artist checked the driver who had the flashlight.,sim_2,pilot_simulated_v1,2.02,3.35,5.0,5.0,3.43,4.39,,True,simulated
attach_000067,attachment,"With the flashlight, the artist checked the driver.",The artist checked the driver who had the flashlight.,sim_3,pilot_simulated_v1,3.3,4.41,5.0,5.0,4.52,4.19,,True,simulated
neg_000030,negation,The scientist did not interview the researcher.,The scientist interviewed the researcher.,sim_1,pilot_simulated_v1,4.32,4.39,5.0,5.0,3.61,4.36,,True,simulated
neg_000030,negation,The scientist did not interview the researcher.,The scientist interviewed the researcher.,sim_2,pilot_simulated_v1,3.58,4.31,5.0,5.0,4.1,3.69,,True,simulated
neg_000030,negation,The scientist did not interview the researcher.,The scientist interviewed the researcher.,sim_3,pilot_simulated_v1,3.38,3.66,5.0,5.0,3.7,3.19,,True,simulated
role_000067,role_reversal,The engineer contacted the journalist.,The journalist contacted the engineer.,sim_1,pilot_simulated_v1,4.71,4.4,5.0,5.0,4.78,4.11,,True,simulated
role_000067,role_reversal,The engineer contacted the journalist.,The journalist contacted the engineer.,sim_2,pilot_simulated_v1,4.29,4.3,5.0,5.0,3.42,4.08,,True,simulated
role_000067,role_reversal,The engineer contacted the journalist.,The journalist contacted the engineer.,sim_3,pilot_simulated_v1,4.11,3.15,5.0,5.0,3.52,3.84,,True,simulated
role_000030,role_reversal,The waiter admired the judge.,The judge admired the waiter.,sim_1,pilot_simulated_v1,3.81,3.72,5.0,5.0,4.17,3.63,,True,simulated
role_000030,role_reversal,The waiter admired the judge.,The judge admired the waiter.,sim_2,pilot_simulated_v1,3.61,3.78,5.0,5.0,3.58,3.38,,True,simulated
role_000030,role_reversal,The waiter admired the judge.,The judge admired the waiter.,sim_3,pilot_simulated_v1,3.71,3.53,5.0,5.0,3.32,4.04,,True,simulated
attach_000016,attachment,"With the notebook, the student met the student.",The student met the student who had the notebook.,sim_1,pilot_simulated_v1,3.53,3.58,5.0,5.0,4.35,4.49,,True,simulated
attach_000016,attachment,"With the notebook, the student met the student.",The student met the student who had the notebook.,sim_2,pilot_simulated_v1,2.07,3.08,5.0,5.0,4.49,4.34,,True,simulated
attach_000016,attachment,"With the notebook, the student met the student.",The student met the student who had the notebook.,sim_3,pilot_simulated_v1,3.02,3.12,5.0,5.0,3.86,4.39,,True,simulated
role_000051,role_reversal,The musician praised the waiter.,The waiter praised the musician.,sim_1,pilot_simulated_v1,4.82,4.41,5.0,5.0,3.52,4.37,,True,simulated
role_000051,role_reversal,The musician praised the waiter.,The waiter praised the musician.,sim_2,pilot_simulated_v1,4.0,4.23,5.0,5.0,3.42,4.55,,True,simulated
role_000051,role_reversal,The musician praised the waiter.,The waiter praised the musician.,sim_3,pilot_simulated_v1,4.37,4.25,5.0,5.0,3.54,3.99,,True,simulated
attach_000068,attachment,The judge photographed the tourist with the camera.,"With the camera, the judge photographed the tourist.",sim_1,pilot_simulated_v1,2.93,3.98,5.0,5.0,3.77,4.16,,True,simulated
attach_000068,attachment,The judge photographed the tourist with the camera.,"With the camera, the judge photographed the tourist.",sim_2,pilot_simulated_v1,2.55,3.39,5.0,5.0,3.46,4.09,,True,simulated
