pair_id,phenomenon,model,condition,gold_label,predicted_label,correct,score_yes,score_no,margin_yes_minus_no,s,s_eval,edit_type,split
neg_000001,negation,gpt2,counterfactual,no,no,True,-7.372310638427734,-6.863002777099609,-0.509307861328125,A cat is an animal.,A cat is not a machine.,insert_not,train
neg_000001,negation,gpt2,identity_control,yes,no,False,-6.75576639175415,-6.548819065093994,-0.20694732666015625,A cat is an animal.,A cat is an animal.,insert_not,train
neg_000002,negation,gpt2,counterfactual,no,no,True,-7.36607551574707,-6.972108840942383,-0.3939666748046875,A cat is not a machine.,A cat is an animal.,remove_not,train
neg_000002,negation,gpt2,identity_control,yes,no,False,-6.983956813812256,-6.707192897796631,-0.276763916015625,A cat is not a machine.,A cat is not a machine.,remove_not,train
neg_000003,negation,gpt2,counterfactual,no,no,True,-7.245048522949219,-6.976997375488281,-0.2680511474609375,A computer is a machine.,A computer is not a person.,insert_not,dev
neg_000003,negation,gpt2,identity_control,yes,yes,True,-6.228537082672119,-6.490789890289307,0.2622528076171875,A computer is a machine.,A computer is a machine.,insert_not,dev
neg_000004,negation,gpt2,counterfactual,no,no,True,-7.022546768188477,-6.882898330688477,-0.1396484375,A computer is not a person.,A computer is a machine.,remove_not,train
neg_000004,negation,gpt2,identity_control,yes,no,False,-7.05620813369751,-6.851892948150635,-0.204315185546875,A computer is not a person.,A computer is not a person.,remove_not,train
neg_000005,negation,gpt2,counterfactual,no,no,True,-8.000348091125488,-6.981274604797363,-1.019073486328125,A book is a text.,A book is not a person.,insert_not,train
neg_000005,negation,gpt2,identity_control,yes,no,False,-6.9352946281433105,-6.5555033683776855,-0.379791259765625,A book is a text.,A book is a text.,insert_not,train
neg_000006,negation,gpt2,counterfactual,no,no,True,-7.7333550453186035,-6.871767520904541,-0.8615875244140625,A book is not a person.,A book is a text.,remove_not,test
neg_000006,negation,gpt2,identity_control,yes,no,False,-7.786215782165527,-6.883536338806152,-0.902679443359375,A book is not a person.,A book is not a person.,remove_not,test
neg_000007,negation,gpt2,counterfactual,no,no,True,-7.68447208404541,-7.18825626373291,-0.4962158203125,A dog is an animal.,A dog is not a plant.,insert_not,train
neg_000007,negation,gpt2,identity_control,yes,no,False,-6.900718688964844,-6.818214416503906,-0.0825042724609375,A dog is an animal.,A dog is an animal.,insert_not,train
neg_000008,negation,gpt2,counterfactual,no,no,True,-7.568129539489746,-7.170760154724121,-0.397369384765625,A dog is not a plant.,A dog is an animal.,remove_not,test
neg_000008,negation,gpt2,identity_control,yes,no,False,-7.38511323928833,-7.039364337921143,-0.3457489013671875,A dog is not a plant.,A dog is not a plant.,remove_not,test
neg_000009,negation,gpt2,counterfactual,no,no,True,-7.553071975708008,-6.802797317504883,-0.750274658203125,A monkey is an animal.,A monkey is not a toy.,insert_not,train
neg_000009,negation,gpt2,identity_control,yes,no,False,-6.861289024353027,-6.480490684509277,-0.38079833984375,A monkey is an animal.,A monkey is an animal.,insert_not,train
neg_000010,negation,gpt2,counterfactual,no,no,True,-7.433595657348633,-6.83714485168457,-0.5964508056640625,A monkey is not a toy.,A monkey is an animal.,remove_not,train
