pair_id,phenomenon,s,s_cf,edit_type,split,token_len_s,token_len_cf,length_delta,abs_length_delta,lexical_jaccard,levenshtein_distance,source_file,source_pair_index,direction,mean_delta_cos,mean_delta_frob,mean_delta_l2,mean_delta_token_aligned,avg_surprisal_s,avg_surprisal_cf,delta_avg_surprisal,abs_delta_avg_surprisal,delta_key_region_surprisal,frob_percentile_in_phenomenon,surprisal_percentile_in_phenomenon
neg_000001,negation,A cat is an animal.,A cat is not a machine.,insert_not,train,5,6,1,1,0.428571,10,NEG-1500-SIMP-GEN.txt,1,forward,0.08673187458153923,0.12077534366713369,5.8764137813087665,2.745426062381629e-07,4.224967956542969,4.173037052154541,-0.0519309043884277,0.0519309043884277,8.234296321868896,0.357,0.06366666666666666
neg_000002,negation,A cat is not a machine.,A cat is an animal.,remove_not,train,6,5,-1,1,0.428571,10,NEG-1500-SIMP-GEN.txt,1,reverse,0.08673187458153923,0.12077534366713369,5.8764137813087665,2.745426062381629e-07,4.173037052154541,4.224967956542969,0.0519309043884277,0.0519309043884277,-8.234296321868896,0.357,0.06366666666666666
neg_000003,negation,A computer is a machine.,A computer is not a person.,insert_not,dev,5,6,1,1,0.5,10,NEG-1500-SIMP-GEN.txt,2,forward,0.0818674600485599,0.11024794836848001,5.4971104319574255,0.08867611216776294,4.105493545532227,3.899963140487671,-0.2055304050445556,0.2055304050445556,4.625941038131714,0.06633333333333333,0.27166666666666667
neg_000004,negation,A computer is not a person.,A computer is a machine.,remove_not,train,6,5,-1,1,0.5,10,NEG-1500-SIMP-GEN.txt,2,reverse,0.0818674600485599,0.11024794836848001,5.4971104319574255,0.08867611216776294,3.899963140487671,4.105493545532227,0.2055304050445556,0.2055304050445556,-4.625941038131714,0.06633333333333333,0.27166666666666667
neg_000005,negation,A book is a text.,A book is not a person.,insert_not,train,5,6,1,1,0.5,9,NEG-1500-SIMP-GEN.txt,3,forward,0.08597821358478426,0.1221106993110062,5.345251626137531,0.08957241859399906,4.373089790344238,3.9439618587493896,-0.4291279315948486,0.4291279315948486,3.321322441101074,0.4196666666666667,0.5223333333333333
neg_000006,negation,A book is not a person.,A book is a text.,remove_not,test,6,5,-1,1,0.5,9,NEG-1500-SIMP-GEN.txt,3,reverse,0.08597821358478426,0.1221106993110062,5.345251626137531,0.08957241859399906,3.9439618587493896,4.373089790344238,0.4291279315948486,0.4291279315948486,-3.321322441101074,0.4196666666666667,0.5223333333333333
neg_000007,negation,A dog is an animal.,A dog is not a plant.,insert_not,train,5,6,1,1,0.428571,8,NEG-1500-SIMP-GEN.txt,4,forward,0.08150830052115697,0.11571560632238505,5.734229097086372,2.6069506250246606e-07,4.001560211181641,4.128612995147705,0.1270527839660644,0.1270527839660644,8.454038143157959,0.185,0.17166666666666666
neg_000008,negation,A dog is not a plant.,A dog is an animal.,remove_not,test,6,5,-1,1,0.428571,8,NEG-1500-SIMP-GEN.txt,4,reverse,0.08150830052115697,0.11571560632238505,5.734229097086372,2.6069506250246606e-07,4.128612995147705,4.001560211181641,-0.1270527839660644,0.1270527839660644,-8.454038143157959,0.185,0.17166666666666666
neg_000009,negation,A monkey is an animal.,A monkey is not a toy.,insert_not,train,5,6,1,1,0.428571,8,NEG-1500-SIMP-GEN.txt,5,forward,0.10286377054272272,0.1311001597305592,6.052637284000714,-7.224805427320076e-09,4.904787063598633,4.339989185333252,-0.5647978782653809,0.5647978782653809,6.765623688697815,0.745,0.6596666666666666
neg_000010,negation,A monkey is not a toy.,A monkey is an animal.,remove_not,train,6,5,-1,1,0.428571,8,NEG-1500-SIMP-GEN.txt,5,reverse,0.10286377054272272,0.1311001597305592,6.052637284000714,-7.224805427320076e-09,4.339989185333252,4.904787063598633,0.5647978782653809,0.5647978782653809,-6.765623688697815,0.745,0.6596666666666666
neg_000011,negation,A rabbit is an animal.,A rabbit is not a plant.,insert_not,train,5,6,1,1,0.428571,8,NEG-1500-SIMP-GEN.txt,6,forward,0.09456094467278679,0.12013237840679623,6.00176090510054,-1.1439275259923452e-08,4.818629264831543,4.373778820037842,-0.4448504447937011,0.4448504447937011,7.776063084602356,0.3343333333333333,0.5396666666666666
neg_000012,negation,A rabbit is not a plant.,A rabbit is an animal.,remove_not,train,6,5,-1,1,0.428571,8,NEG-1500-SIMP-GEN.txt,6,reverse,0.09456094467278679,0.12013237840679623,6.00176090510054,-1.1439275259923452e-08,4.373778820037842,4.818629264831543,0.4448504447937011,0.4448504447937011,-7.776063084602356,0.3343333333333333,0.5396666666666666
neg_000013,negation,A human is a mammal.,A human is not a device.,insert_not,train,5,6,1,1,0.5,10,NEG-1500-SIMP-GEN.txt,7,forward,0.0809495936740528,0.11427863677961006,5.461345138084708,0.07749495768185814,4.415610313415527,4.317753314971924,-0.0978569984436035,0.0978569984436035,4.860656261444092,0.145,0.13166666666666665
neg_000014,negation,A human is not a device.,A human is a mammal.,remove_not,train,6,5,-1,1,0.5,10,NEG-1500-SIMP-GEN.txt,7,reverse,0.0809495936740528,0.11427863677961006,5.461345138084708,0.07749495768185814,4.317753314971924,4.415610313415527,0.0978569984436035,0.0978569984436035,-4.860656261444092,0.145,0.13166666666666665
neg_000015,negation,A laptop is a device.,A laptop is not a toy.,insert_not,train,5,6,1,1,0.5,9,NEG-1500-SIMP-GEN.txt,8,forward,0.07921759648756543,0.10648246979832456,5.46208693533007,0.08166987290888117,5.1050310134887695,4.225689888000488,-0.8793411254882812,0.8793411254882812,4.415776252746582,0.027666666666666666,0.8463333333333334
neg_000016,negation,A laptop is not a toy.,A laptop is a device.,remove_not,train,6,5,-1,1,0.5,9,NEG-1500-SIMP-GEN.txt,8,reverse,0.07921759648756543,0.10648246979832456,5.46208693533007,0.08166987290888117,4.225689888000488,5.1050310134887695,0.8793411254882812,0.8793411254882812,-4.415776252746582,0.027666666666666666,0.8463333333333334
neg_000017,negation,An earphone is a device.,An earphone is not a toy.,insert_not,train,5,6,1,1,0.571429,9,NEG-1500-SIMP-GEN.txt,9,forward,0.10681159207315152,0.12937484541633493,6.16811398140183,0.10336869729287693,5.013519763946533,4.094460964202881,-0.9190587997436525,0.9190587997436525,4.663061618804932,0.6916666666666667,0.861
neg_000018,negation,An earphone is not a toy.,An earphone is a device.,remove_not,train,6,5,-1,1,0.571429,9,NEG-1500-SIMP-GEN.txt,9,reverse,0.10681159207315152,0.12937484541633493,6.16811398140183,0.10336869729287693,4.094460964202881,5.013519763946533,0.9190587997436525,0.9190587997436525,-4.663061618804932,0.6916666666666667,0.861
neg_000019,negation,A book is a creation.,A book is not a utensil.,insert_not,train,5,6,1,1,0.5,10,NEG-1500-SIMP-GEN.txt,10,forward,0.0850488146146138,0.12654223700626316,5.4937785402730555,0.08957241859399906,4.738519668579102,3.91396164894104,-0.8245580196380615,0.8245580196380615,8.931781804189086,0.601,0.8236666666666667
neg_000020,negation,A book is not a utensil.,A book is a creation.,remove_not,train,6,5,-1,1,0.5,10,NEG-1500-SIMP-GEN.txt,10,reverse,0.0850488146146138,0.12654223700626316,5.4937785402730555,0.08957241859399906,3.91396164894104,4.738519668579102,0.8245580196380615,0.8245580196380615,-8.931781804189086,0.601,0.8236666666666667
