pair_id,phenomenon,s,s_cf,edit_type,split,token_len_s,token_len_cf,length_delta,abs_length_delta,lexical_jaccard,levenshtein_distance,source_file,source_pair_index,direction,mean_delta_cos,mean_delta_frob,mean_delta_l2,mean_delta_token_aligned,avg_surprisal_s,avg_surprisal_cf,delta_avg_surprisal,abs_delta_avg_surprisal,delta_key_region_surprisal,frob_percentile_in_phenomenon,surprisal_percentile_in_phenomenon
neg_000001,negation,A cat is an animal.,A cat is not a machine.,insert_not,train,5,6,1,1,0.428571,10,NEG-1500-SIMP-GEN.txt,1,forward,0.007276347705296064,0.008969989325044536,1583.3292103631156,9.32670774913886e-06,4.224967956542969,4.173037052154541,-0.0519309043884277,0.0519309043884277,8.234296321868896,0.8623333333333333,0.06366666666666666
neg_000002,negation,A cat is not a machine.,A cat is an animal.,remove_not,train,6,5,-1,1,0.428571,10,NEG-1500-SIMP-GEN.txt,1,reverse,0.007276347705296064,0.008969989325044536,1583.3292103631156,9.32670774913886e-06,4.173037052154541,4.224967956542969,0.0519309043884277,0.0519309043884277,-8.234296321868896,0.8623333333333333,0.06366666666666666
neg_000003,negation,A computer is a machine.,A computer is not a person.,insert_not,dev,5,6,1,1,0.5,10,NEG-1500-SIMP-GEN.txt,2,forward,0.005322650500706217,0.006516721495266986,1930.5156811032975,0.0031125251735959173,4.105493545532227,3.899963140487671,-0.2055304050445556,0.2055304050445556,4.625941038131714,0.43566666666666665,0.27166666666666667
neg_000004,negation,A computer is not a person.,A computer is a machine.,remove_not,train,6,5,-1,1,0.5,10,NEG-1500-SIMP-GEN.txt,2,reverse,0.005322650500706217,0.006516721495266986,1930.5156811032975,0.0031125251735959173,3.899963140487671,4.105493545532227,0.2055304050445556,0.2055304050445556,-4.625941038131714,0.43566666666666665,0.27166666666666667
neg_000005,negation,A book is a text.,A book is not a person.,insert_not,train,5,6,1,1,0.5,9,NEG-1500-SIMP-GEN.txt,3,forward,0.00524786881038116,0.006682271869006026,1402.9422309875488,0.0027540585824420995,4.373089790344238,3.9439618587493896,-0.4291279315948486,0.4291279315948486,3.321322441101074,0.537,0.5223333333333333
neg_000006,negation,A book is not a person.,A book is a text.,remove_not,test,6,5,-1,1,0.5,9,NEG-1500-SIMP-GEN.txt,3,reverse,0.00524786881038116,0.006682271869006026,1402.9422309875488,0.0027540585824420995,3.9439618587493896,4.373089790344238,0.4291279315948486,0.4291279315948486,-3.321322441101074,0.537,0.5223333333333333
neg_000007,negation,A dog is an animal.,A dog is not a plant.,insert_not,train,5,6,1,1,0.428571,8,NEG-1500-SIMP-GEN.txt,4,forward,0.007636720793587777,0.008891185166548668,1562.8977361679076,9.42207518077966e-06,4.001560211181641,4.128612995147705,0.1270527839660644,0.1270527839660644,8.454038143157959,0.8463333333333334,0.17166666666666666
neg_000008,negation,A dog is not a plant.,A dog is an animal.,remove_not,test,6,5,-1,1,0.428571,8,NEG-1500-SIMP-GEN.txt,4,reverse,0.007636720793587777,0.008891185166548668,1562.8977361679076,9.42207518077966e-06,4.128612995147705,4.001560211181641,-0.1270527839660644,0.1270527839660644,-8.454038143157959,0.8463333333333334,0.17166666666666666
neg_000009,negation,A monkey is an animal.,A monkey is not a toy.,insert_not,train,5,6,1,1,0.428571,8,NEG-1500-SIMP-GEN.txt,5,forward,0.007319433348519414,0.009205832124899586,1649.9741504941667,9.114401681082406e-06,4.904787063598633,4.339989185333252,-0.5647978782653809,0.5647978782653809,6.765623688697815,0.901,0.6596666666666666
neg_000010,negation,A monkey is not a toy.,A monkey is an animal.,remove_not,train,6,5,-1,1,0.428571,8,NEG-1500-SIMP-GEN.txt,5,reverse,0.007319433348519414,0.009205832124899586,1649.9741504941667,9.114401681082406e-06,4.339989185333252,4.904787063598633,0.5647978782653809,0.5647978782653809,-6.765623688697815,0.901,0.6596666666666666
neg_000011,negation,A rabbit is an animal.,A rabbit is not a plant.,insert_not,train,5,6,1,1,0.428571,8,NEG-1500-SIMP-GEN.txt,6,forward,0.0066836050578525565,0.008190544409201217,1581.225916154044,1.0703858875091433e-05,4.818629264831543,4.373778820037842,-0.4448504447937011,0.4448504447937011,7.776063084602356,0.7703333333333333,0.5396666666666666
